GRABACh3.0,iAChSnFR,gGRAB5-HT2h,GRABNE2m,GRABDA2m
1.80524001304773,2.16013071557644,3.41540823051687,1.30392178533998,1.72813005266485
1.68214883833588,1.60587130520871,2.34410554714676,2.14426819240512,2.44037457667379
1.55901472247217,1.68444093154461,4.18786511433250,1.22528387547272,1.60170047916973
1.96639415509152,1.34386832674648,,,2.26314138876625
1.89733196527676,0.94004693433333,4.09285946312413,1.32021495086518,3.36834373955541
,2.10814759389405,3.05629770134458,1.20212750602200,3.08388491178573
,0.45560836261295,5.02231866577713,1.72877073040349,3.16374671893959
1.46837054410550,2.16047118926025,3.44142424590161,,2.22186974425659
1.59509559599278,2.35081884405594,,3.98216101833634,1.67651554128541
1.73309438550003,2.10721993037576,1.14513783997588,3.65488360971032,2.11230916084742
1.08797957148399,2.24981429976098,2.50456946177239,3.39739015978461,
2.04782029128810,,1.83553553743678,3.53761885373248,1.83121125943672
,,,,1.63768732719687
1.73639852960921,,1.37692059818681,4.68011670359662,1.60212484525044
2.20524238817166,,3.50563296504963,3.64910671953590,1.84841282113497
2.58008535723499,,0.94666949667535,4.65494714731773,1.80807382169862
2.83605701765997,,2.17549686994264,,1.90520752245527
2.19837364382137,,,,1.39892104042037
2.12495489572357,,1.31727896687094,,1.57554945263714
1.58145352163728,,1.36212621612918,,1.30812046996880
0.89382917353223,,,2.64626043901583,
,,2.67308046981777,3.54834234761938,
,,2.00455637115236,,
,,,,
,,5.64166627762004,,
,,4.53593931726382,,
,,,,
,,3.82233292966832,,
,,6.61274111614774,,
,,,,
,,6.84831200846256,,
,,5.36345782470156,,
,,4.67021273991652,,
,,5.58669372127090,,
,,,,
,,4.82747857360278,,
,,5.14178812050021,,
,,3.92867017949740,,