Baseline,ACh
3.31402005942133,3.45398408678464
3.33961217091448,3.52490847938389
3.40023606190481,3.51925506828703
3.35350272955621,3.52419891985978
3.35510268827213,3.54263987353698
3.35206014834255,3.50917578703788
3.37649952059970,3.52346425789871
3.36591083177606,3.52865498207434
3.36175219063247,3.53034197469832
3.36772600099055,3.50374632996255
3.37581267921808,3.50702428804712
3.35513957421822,3.47586880839632
3.36565017126947,3.50124921243723
3.34861978746127,3.49885378735099
3.38396224264550,3.50203245844232
3.34107655374672,3.51753390493479
3.37037666931952,3.55323703771382
3.33449531232869,3.52595787059117
3.35210929522142,3.53613869672004
3.32527326996061,3.52336467419931
3.33748426617324,3.51495980842623
3.37920950813845,3.47854364851433
3.36939629142302,3.51288625809554
3.36105580016004,3.53177962316882
3.34116434009487,3.53181748921561
3.32567797847164,3.56989017322354
3.32241126141353,3.52399740965987
3.32957444391153,3.55887714582789
3.33013146737442,3.43502063264664
3.39122075930361,3.40668883756297
3.34441088296618,3.53372063508305
3.38094884558369,3.53299964372129
3.33122762139761,3.52016909177810
3.36979978424584,3.53668017185490
3.35541325193491,3.52529195864499
,3.53871069653598
,3.52616477267658
,3.50466406482121
,3.50758295556385
,3.53970476927078
,3.53637009028377
,3.52953544287119
,3.49176639199909
,3.50221807913823
,3.52960186887678
,3.50094254492807
,3.53408048263512
,3.52846596166024
,3.52038263584963
,3.52282626500482
,3.53823409762441
,3.51021183663890
,3.52687409638508
,3.50605899704947
,3.52672915370901
,3.51071159783978
,3.48535061149048
,3.45623881431081
,3.49619044573582
,3.53941408271142
,3.52482929167913
,3.54340095526037
,3.47784277668513
,3.53145999293479
,3.52046027665402
,3.54153091497410
,3.52426974433602
,3.54452579651571
,3.45435506794051
,3.48405432531728
,3.52373579995674
,3.52343616321291
,3.49812152266236
,3.50015362689217
,3.50093758432779
,3.51940979816269
,3.51864370724990
,3.50391839261064
,3.51828598337124
,3.50509078189701
,3.46440913456414
,3.49544897841062
,3.49013489284429
,3.52030482092903
,3.48151429576639
,3.50459509692512
,3.54631463731045
,3.54009511366709
,3.51810853910317
,3.43885927751396
,3.51453541113005
,3.51795269459569
,3.51764318908703
,3.55551245900544
,3.50810010157641
,3.50398576571361
,3.49778942464247
,3.51034838591895
,3.49031366638501
,3.49298209616014
,3.49046399272724
,3.48688773499254
,3.53209294834060
,3.53674536030138
,3.49951378435724
,3.53095658204850
,3.55005306538324
,3.52458050766376
,3.53122724811014
,3.53106539879760
,3.52969618862228
,3.50594768116131
,3.51704053576993
,3.46715205556711