-,+
3.31947717325709,3.27150105617906
3.28960700204170,3.30770883887366
3.25243603624327,3.31793451819232
3.31873176650640,3.33466610589941
3.34561080589487,3.30606460872493
3.33557746379561,3.32274913754321
3.25527541563470,3.29391658062738
3.37409829238257,3.29574999268827
3.32704544106914,3.29148222907513
3.30056545318099,3.34604444173097
3.28775276313925,3.35933165819700
3.25861819428922,3.23508532681750
3.28547765776290,3.30833688863918
3.30013841999739,3.28221071082929
3.24322271196671,3.27347284037687
3.34047077672523,3.36047761421741
3.32192351199906,3.32708617171848
3.38485291510276,3.34972109864368
3.31547853397181,3.29573164891018
3.33217621241243,3.34869948336626
3.28062658919461,3.35388247156732
3.24658132823797,3.31593375288555
3.31762909617609,3.31954031740881
3.29534149802885,3.26788169492750
3.24579010379353,3.27994784043592
3.23831998069933,3.25317990596387
3.35234897143680,3.30564005888715
3.33704089725691,3.25435023317744
3.32665282388787,3.25797920182828
3.30085092159672,3.30565517907238
3.30656841910785,3.35710048785331
3.34433366859344,3.34362986138843
3.34278703524757,3.30600988526344
3.31758460141175,3.29255018868209
3.31887775147480,3.32133674629807
3.34434434468473,3.27231126877012
3.25696970916205,3.29630989368011
3.32504036707553,3.30034321111639
3.28807501630119,3.30100084646871
3.27493063372953,3.38948765460857
,3.36322317238398
,3.30193623906063
,3.30830020581129
,3.28863610347532
,3.32187317525442
,3.28827264498076
,3.26893866603267
,3.32537690537874
,3.29545238948944
,3.28945057309589
,3.31104808068731
,3.25492473714350
,3.29358360171650
,3.32767942118817
,3.20673736637916
,3.26552050664168
,3.30277176887194
,3.28958951941388
,3.31288184310987
,3.30601864201833
,3.28798200759977