"Time (min)",
0.00000000000000,3.34410170728606
0.23333333333335,3.32818637148981
0.46666666666670,3.32392926712565
0.70000000000005,3.33581141354672
0.91666666666674,3.33256407313037
1.14999999999998,3.31631030998304
1.38333333333333,3.31512725297468
1.60000000000002,3.33462177583612
1.83333333333337,3.33714791845711
2.06666666666672,3.33161067760121
2.30000000000007,3.31822603245993
2.51666666666665,3.34538413681385
2.75000000000000,3.34426795491506
2.98333333333335,3.30915392414282
3.21666666666670,3.34503247762522
3.43333333333339,3.31761603346858
3.66666666666674,3.33761307267798
3.89999999999998,3.32819384606137
5.25000000000000,3.50967451876815
5.46666666666670,3.51410076712148
5.91666666666674,3.50311788846770
6.36666666666667,3.50496919539835
6.60000000000002,3.51323999202010
6.83333333333337,3.49302849240274
7.06666666666672,3.50568084548644
7.30000000000007,3.49681275802273
7.51666666666665,3.49939508977957
7.75000000000000,3.50035478283170
7.98333333333335,3.50676300280863
8.21666666666670,3.50165617212770
8.75000000000000,3.49635093006718
8.98333333333335,3.50290305205249
9.85000000000002,3.50430521628286
10.06666666666670,3.49308539826272
12.16666666666670,3.49002664106225
12.60000000000000,3.40537300531633
13.03333333333330,3.34400690714067
13.26666666666670,3.33560291200318
13.50000000000000,3.33985771617295
13.71666666666670,3.36283309378070
13.95000000000000,3.32871224891256
14.18333333333340,3.33952654984619
14.41666666666670,3.33642145315029
14.65000000000000,3.36797641543296
14.86666666666670,3.35317534080100
15.10000000000000,3.35853655323341
15.33333333333340,3.34167707051802
15.56666666666670,3.34441980819884
15.80000000000010,3.36219957396493
16.03333333333330,3.35334166087761
16.26666666666670,3.34818363474136
16.48333333333340,3.33691673555771
16.71666666666670,3.33990254847990
16.95000000000000,3.34424716690625
17.51666666666670,3.32837439369259
18.31666666666670,3.32969773593026
18.55000000000010,3.34813669930342
18.78333333333330,3.35477447600752
19.01666666666670,3.35068377247484
19.23333333333340,3.35517926858140
19.46666666666670,3.34111614146411
19.70000000000000,3.33848445799359
19.91666666666670,3.33800438424948
20.15000000000000,3.34828371593208
20.38333333333330,3.33590107681342
20.60000000000000,3.34795517113141
20.83333333333340,3.33500693753933
21.06666666666670,3.33786811780949
21.30000000000010,3.33010004865913
21.51666666666670,3.33911501664371
21.75000000000000,3.35238436023626
21.98333333333340,3.33175589360523
22.50000000000000,3.34837047350675
22.73333333333340,3.34148961508811
22.95000000000000,3.35744279165100
23.18333333333340,3.35042471065896
23.40000000000000,3.32789590145961
23.63333333333330,3.34796462958588