,Baseline,ACh,ACh+Tio
20220914AChsensorHEK001_tio,-0.00312461933604,1.80524001304773,0.12611427911865
20220914AChsensorHEK001_tio,0.00849912003856,1.68214883833588,0.12968322579339
,,,
20220914AChsensorHEK001_tio,-0.01497759783637,1.55901472247217,-0.04056732747390
20220914AChsensorHEK001_tio,0.00806505799392,1.96639415509152,0.14764727803641
20220914AChsensorHEK001_tio,-0.10076399944539,1.89733196527676,0.14386329008306
,,,
,,,
20220914AChsensorHEK002_tio,-0.08870037262998,2.18956456374176,-0.06763697128649
20220914AChsensorHEK002_tio,-0.09654019273580,1.46837054410550,0.02678218611335
20220914AChsensorHEK002_tio,-0.16293786316597,1.59509559599278,0.03920991495729
20220914AChsensorHEK002_tio,-0.12505525017290,1.73309438550003,0.19023026773426
,,,
20220914AChsensorHEK002_tio,-0.08204424288404,1.08797957148399,0.25028496518131
20220914AChsensorHEK002_tio,-0.11979681724591,2.04782029128810,0.34342939281966
,,,
,,,
20220914AChsensorHEK003_tio,0.04551522730123,1.73639852960921,-0.00491931479876
20220914AChsensorHEK003_tio,0.04374914024474,2.20524238817166,0.04594358591910
20220914AChsensorHEK003_tio,0.05992372805776,2.58008535723499,0.11223770509407
20220914AChsensorHEK003_tio,0.06657153677586,2.83605701765997,0.05335051487274
,,,
20220914AChsensorHEK003_tio,0.00850491217392,2.19837364382137,0.03152687089473
20220914AChsensorHEK003_tio,-0.07499821313740,2.12495489572357,0.36178869203628
20220914AChsensorHEK003_tio,0.01771537728614,1.58145352163728,0.08121806515232
20220914AChsensorHEK003_tio,0.08545402371948,0.89382917353223,0.20784475803910