,AW,QW,NREM,REM
8w,4.16160,4.14100,4.13220,4.18415
8w,4.19790,4.16510,4.11720,4.21310
8w,4.17250,4.16585,4.12670,4.23615
8w,4.16360,4.13820,4.12640,4.23405
8w,4.18370,4.13710,4.12475,4.21915
8w,4.16740,4.13650,4.13030,4.24475
8w,4.16560,4.12865,4.13695,
8w,4.16500,4.13470,4.13090,
8w,4.18420,4.13185,4.13520,
8w,4.17745,4.13280,4.13290,
8w,4.17415,4.14595,4.13720,
8w,4.18070,4.13850,4.15005,
8w,4.17440,4.13085,4.15255,
8w,4.17530,4.15030,4.16120,
8w,4.16910,4.13655,4.16400,
8w,4.17200,4.14090,4.16220,
8w,4.18690,4.13180,4.13645,
8w,4.19365,4.14425,4.16580,
8w,4.19670,4.14020,4.16240,
8w,4.18820,4.13670,4.14610,
8w,4.17350,4.15730,4.14190,
8w,4.20720,4.15165,4.15520,
8w,4.18650,4.16160,4.15560,
8w,4.16890,4.16335,4.13515,
8w,4.17830,4.16630,4.14280,
8w,4.17790,4.15290,4.15960,
8w,4.18330,4.15295,4.17500,
8w,4.19005,4.14320,4.17770,
8w,4.17640,4.14175,,
8w,4.21710,4.15480,,
8w,4.20940,4.14635,,
8w,4.19265,4.14035,,
8w,4.20330,4.16610,,
8w,4.21150,4.20200,,
8w,4.18920,4.20095,,
8w,4.23505,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,
8w,,,,